,Unnamed: 1,20 食品制造业,21 饮料制造业,22 烟草制造业,23 纺织业,24 服饰品制造业,25 木竹藤柳制品制造业,26 家具及装设品制造业,27 纸及纸制品制造业,28 印刷制版及装订业,29 皮革毛皮及其制品制造业,30 橡胶制品制造业,31 化学工业,32 石油炼制及煤制品制造业,33 非金属矿产物制品制造业,34 金属基本工业,35 金属制品制造业,36 机械制造修配业,37 电气机械器材制造修配业,38 运输工具制造修配业,39 其他制造业
8,5660,5660,25,,12954,1230,1139,333,1332,1468,325,787,9436,414,5625,1339,3486,5096,6682,3483,4031
9,3195,3195,80,,42,69,1314,35,319,184,3,86,162,6,1060,,165,358,6,234,443
10,4779,4779,280,,3853,45,460,727,369,126,63,474,1169,21,1875,352,396,517,96,612,425
11,7460,7460,3,,1305,203,1038,459,142,275,2,110,1070,35,3792,90,447,806,2776,327,152
12,3497,3497,32,,999,268,781,56,850,160,,,558,66,2376,21,160,316,532,62,327
13,9460,9460,23,,8333,335,3522,151,1861,529,27,1956,2525,6,1293,664,540,2336,453,460,596
14,10600,10600,370,,7157,338,1086,185,1088,358,84,906,1659,15,1910,229,3187,1691,203,606,792
15,2965,2965,90,,37,62,482,112,428,153,,,206,,914,,99,85,19,70,34
16,3464,3464,147,,359,807,246,19,205,214,18,3,342,,1314,22,133,208,37,130,28
17,3578,3578,101,,303,365,1484,123,776,422,90,138,711,92,1339,665,487,925,89,395,260
18,4566,4566,106,,2148,205,292,44,560,240,27,283,792,32,4188,5,661,527,37,194,188
19,4000,4000,94,,540,6,470,33,1083,212,22,41,381,23,2643,138,537,272,6,107,28
20,3024,3024,57,,346,60,781,39,31,256,10,40,255,8,803,,275,331,4,335,91
21,1300,1300,24,,54,10,435,2,,93,6,,39,,370,,12,20,,10,68
22,1159,1159,82,,33,17,576,28,,164,9,,10,,507,,45,220,1,64,
23,277,277,13,,29,5,28,,,41,,,5,,100,,11,13,16,176,28
24,42012,42012,1052,11456,54902,5114,11292,967,6910,5137,190,3063,25363,10220,11773,2844,6575,6047,16799,5160,3280
25,900,900,15,,61,384,138,,42,276,,3,241,63,8,74,154,957,648,4283,21
26,2535,2535,71,,1594,807,1386,468,681,1243,41,1162,1940,,645,250,1251,3420,905,1331,447
27,5574,5574,239,,5448,2263,287,199,112,848,196,284,3854,3,360,521,2300,1744,1760,1620,900
28,2976,2976,80,,1751,843,4733,154,572,554,31,123,9500,96,2577,10062,1381,4360,1070,3816,354
29,329,329,17,,520,28,43,365,78,20,18,678,380,19,724,66,328,615,384,83,115
