,empty,male,feamle
  ,9750,0,0
00,0,12134,33208
01,0,2507,553
02,0,361,30
03,0,3557,191
04,0,434,33
05,0,279,78
06,0,374,88
07,0,867,97
08,0,1044,243
09,0,1448,312
10,0,928,622
11,0,754,91
12,0,773,132
13,0,251,121
14,0,208,178
15,0,921,309
16,0,26,28
17,0,400,380
18,0,222,818
19,0,436,110
20,0,670,306
21,0,668,200
22,0,191,36
23,0,278,134
24,0,129,161
25,0,489,28
26,0,1401,255
27,0,447,421
28,0,737,101
29,0,1523,463
30,0,834,1179
31,0,4290,3047
32,0,307,1513
33,0,525,737
34,0,870,734
35,0,638,406
36,0,652,82
37,0,627,1259
38,0,350,202
39,0,349,829
40,0,441,1549
41,0,285,289
42,0,1691,2898
43,0,624,434
44,0,79,7
45,0,422,84
46,0,758,383
47,0,261,198
48,0,687,379
