,gender,detailed_class_of_worker,class_of_worker_employed_unemployed,major_industry,detailed_industry,major_occupation,detailed_occupation,manufacturing
0,1,00,00,00,00,00,00,00
1,2,00,00,00,00,00,00,00
2,1,07,01,02,03,05,14,00
3,2,00,00,00,00,00,00,00
4,1,00,00,00,00,00,00,00
5, ,  ,  ,  ,  ,  ,  ,  
6,1,12,03,14,39,01,03,00
7,2,00,00,00,00,00,00,00
8, ,  ,  ,  ,  ,  ,  ,  
9, ,  ,  ,  ,  ,  ,  ,  
10, ,  ,  ,  ,  ,  ,  ,  
11,1,00,00,00,00,00,00,00
12,2,00,00,00,00,00,00,00
13, ,  ,  ,  ,  ,  ,  ,  
14, ,  ,  ,  ,  ,  ,  ,  
15, ,  ,  ,  ,  ,  ,  ,  
16, ,  ,  ,  ,  ,  ,  ,  
17,1,07,01,02,03,06,22,00
18,2,00,00,00,00,00,00,00
19,2,07,01,03,09,06,25,06
20,1,07,01,02,03,05,15,00
21,2,00,00,00,00,00,00,00
22,2,00,00,00,00,00,00,00
23,1,00,00,00,00,00,00,00
24,2,00,00,00,00,00,00,00
25,1,00,00,00,00,00,00,00
26,2,00,00,00,00,00,00,00
27,2,05,02,17,42,03,11,00
28,2,05,02,17,42,01,04,00
29,1,07,01,02,03,05,14,00
30,2,00,00,00,00,00,00,00
31,2,06,01,03,14,03,11,11
32,2,00,00,00,00,00,00,00
33,1,07,01,03,09,05,16,06
34,2,00,00,00,00,00,00,00
35,1,10,01,07,28,05,21,00
36,2,00,00,00,00,00,00,00
37,1,07,01,03,09,06,25,06
38,2,00,00,00,00,00,00,00
39,2,11,01,15,40,09,34,00
40,2,06,01,03,09,03,11,06
41,2,00,00,00,00,00,00,00
42,1,07,01,02,03,05,15,00
43,2,09,01,14,39,01,05,00
44,1,07,01,04,18,06,26,15
45,2,00,00,00,00,00,00,00
46,1,09,01,10,34,01,05,00
47,2,09,01,07,27,01,05,00
48,1,07,01,03,08,05,16,05
49,2,00,00,00,00,00,00,00
50, ,  ,  ,  ,  ,  ,  ,  
51,1,05,02,02,03,05,16,00
52,2,00,00,00,00,00,00,00
53,1,00,00,00,00,00,00,00
54,1,06,01,03,12,01,05,09
55,2,05,02,17,42,03,10,00
56,1,00,00,00,00,00,00,00
57,1,00,00,00,00,00,00,00
58, ,  ,  ,  ,  ,  ,  ,  
59,1,09,01,09,31,02,07,00
60,2,00,00,00,00,00,00,00
61,1,09,01,09,31,03,11,00
62,2,00,00,00,00,00,00,00
63,2,00,00,00,00,00,00,00
64,1,06,01,04,20,04,13,17
65,2,06,01,04,20,01,05,17
66,2,00,00,00,00,00,00,00
67,2,09,01,09,31,04,12,00
68,1,00,00,00,00,00,00,00
69,1,09,01,11,35,01,01,00
70,2,00,00,00,00,00,00,00
71,2,00,00,00,00,00,00,00
72,1,06,01,03,05,04,13,02
73,2,00,00,00,00,00,00,00
74,2,00,00,00,00,00,00,00
75,1,09,01,18,43,01,01,00
76,2,00,00,00,00,00,00,00
77,2,04,01,00,32,08,31,00
78,2,00,00,00,00,00,00,00
79, ,  ,  ,  ,  ,  ,  ,  
80,1,09,01,18,43,02,07,00
81,2,09,01,18,43,03,10,00
82,1,04,01,00,32,07,30,00
83,2,04,01,00,32,08,31,00
84,1,04,01,00,32,01,05,00
85, ,  ,  ,  ,  ,  ,  ,  
86,1,10,01,11,36,05,18,00
87,1,10,01,11,36,05,18,00
88, ,  ,  ,  ,  ,  ,  ,  
89, ,  ,  ,  ,  ,  ,  ,  
90,1,09,01,09,31,04,12,00
91,1,05,02,17,42,01,05,00
92, ,  ,  ,  ,  ,  ,  ,  
93,1,00,00,00,00,00,00,00
94,2,07,01,04,18,06,26,15
95,2,00,00,00,00,00,00,00
96,1,10,01,09,31,05,21,00
97,2,12,03,10,34,04,13,00
98,1,05,02,17,42,01,04,00
99,1,07,01,03,08,06,25,05
100,2,09,01,09,31,03,11,00
101,1,00,00,00,00,00,00,00
102,2,00,00,00,00,00,00,00
103,2,09,01,09,31,03,11,00
104,1,09,01,09,31,02,07,00
105,2,00,00,00,00,00,00,00
106,1,10,01,09,31,07,30,00
107,1,07,01,02,03,06,27,00
108,2,07,01,03,14,06,25,11
109,2,00,00,00,00,00,00,00
110,2,00,00,00,00,00,00,00
111,1,07,05,03,08,05,20,05
112,1,07,01,03,12,06,25,09
113,2,00,00,00,00,00,00,00
114,1,00,00,00,00,00,00,00
115,2,09,01,09,30,03,10,00
116,2,05,02,17,42,03,10,00
117,1,11,01,13,38,09,34,00
118,1,12,03,09,30,02,08,00
119,2,13,04,09,30,09,33,00
120,1,06,01,03,09,03,11,06
121,2,00,00,00,00,00,00,00
122,1,07,01,03,14,05,20,11
123,2,09,01,09,31,03,11,00
124,1,00,00,00,00,00,00,00
125,1,00,00,00,00,00,00,00
126,2,12,03,09,31,04,12,00
