,gender,detailed_class_of_worker,class_of_worker_employed_unemployed,major_industry,detailed_industry,major_occupation,detailed_occupation,manufacturing
0,1,00,00,00,00,00,00,00
1,2,00,00,00,00,00,00,00
2,1,07,01,02,03,05,14,00
3,2,05,02,17,42,03,11,00
4,1,00,00,00,00,00,00,00
5,1,00,00,00,00,00,00,00
6,1,12,03,12,37,02,09,00
7,2,00,00,00,00,00,00,00
8,1,06,01,04,19,04,13,16
9,2,00,00,00,00,00,00,00
10,1,09,01,06,26,01,05,00
11,2,00,00,00,00,00,00,00
12,1,07,01,04,23,06,26,20
13,2,00,00,00,00,00,00,00
14,1,00,00,00,00,00,00,00
15, ,  ,  ,  ,  ,  ,  ,  
16,1,12,03,14,39,01,03,00
17,2,00,00,00,00,00,00,00
18, ,  ,  ,  ,  ,  ,  ,  
19, ,  ,  ,  ,  ,  ,  ,  
20, ,  ,  ,  ,  ,  ,  ,  
21,1,00,00,00,00,00,00,00
22,2,00,00,00,00,00,00,00
23, ,  ,  ,  ,  ,  ,  ,  
24,2,00,00,00,00,00,00,00
25,1,00,00,00,00,00,00,00
26, ,  ,  ,  ,  ,  ,  ,  
27,2,05,02,17,42,01,04,00
28,2,00,00,00,00,00,00,00
29,1,12,03,14,39,01,03,00
30,2,05,02,20,48,03,10,00
31,2,00,00,00,00,00,00,00
32,1,07,01,02,03,05,15,00
33,2,09,01,09,31,04,12,00
34,2,00,00,00,00,00,00,00
35,2,14,00,00,00,12,00,00
36,2,00,00,00,00,00,00,00
37,1,00,00,00,00,00,00,00
38,2,00,00,00,00,00,00,00
39, ,  ,  ,  ,  ,  ,  ,  
40, ,  ,  ,  ,  ,  ,  ,  
41,1,09,01,09,31,04,12,00
42,2,00,00,00,00,00,00,00
43,1,09,01,10,34,04,13,00
44,2,06,01,04,17,03,10,14
45,1,07,01,02,03,05,15,00
46,2,11,01,14,39,09,34,00
47,2,00,00,00,00,00,00,00
48,2,00,00,00,00,00,00,00
49,1,00,00,00,00,00,00,00
50,1,07,01,03,09,05,19,06
51,2,07,01,04,17,06,26,14
52,1,07,01,03,09,05,19,06
53,2,01,01,00,01,06,27,00
54,1,09,01,10,33,02,07,00
55,2,05,02,20,48,02,07,00
56,1,09,01,09,31,04,12,00
57,2,00,00,00,00,00,00,00
58,2,00,00,00,00,00,00,00
59,1,07,01,03,05,06,25,02
60,2,00,00,00,00,00,00,00
61,1,00,00,00,00,00,00,00
62, ,  ,  ,  ,  ,  ,  ,  
63,1,09,01,10,33,02,07,00
64,2,09,01,10,33,03,11,00
65, ,  ,  ,  ,  ,  ,  ,  
66,1,07,01,02,03,05,15,00
67,2,00,00,00,00,00,00,00
68, ,  ,  ,  ,  ,  ,  ,  
69, ,  ,  ,  ,  ,  ,  ,  
70, ,  ,  ,  ,  ,  ,  ,  
71,1,05,02,17,42,01,02,00
72,2,05,02,17,42,01,04,00
73,1,09,01,08,29,04,13,00
74,1,05,02,17,42,01,04,00
75,2,05,02,17,42,01,04,00
76,2,00,00,00,00,00,00,00
77,1,06,01,03,06,01,01,03
78,2,11,01,09,30,09,33,00
79,2,04,01,00,32,08,31,00
80,1,14,00,00,00,12,00,00
81, ,  ,  ,  ,  ,  ,  ,  
82,1,06,01,03,09,01,01,06
83,2,05,02,17,42,01,04,00
84,1,09,01,10,34,03,11,00
85,2,09,01,09,31,04,12,00
86,1,06,01,03,12,01,05,09
87,2,00,00,00,00,00,00,00
88,2,00,00,00,00,00,00,00
89,1,06,01,03,13,01,01,10
90,2,00,00,00,00,00,00,00
91, ,  ,  ,  ,  ,  ,  ,  
92,1,00,00,00,00,00,00,00
93,1,00,00,00,00,00,00,00
94, ,  ,  ,  ,  ,  ,  ,  
95, ,  ,  ,  ,  ,  ,  ,  
96, ,  ,  ,  ,  ,  ,  ,  
97, ,  ,  ,  ,  ,  ,  ,  
98, ,  ,  ,  ,  ,  ,  ,  
99,2,05,02,14,39,06,27,00
100,1,06,01,03,09,01,05,06
101,1,11,01,09,30,09,34,00
102,2,00,00,00,00,00,00,00
103,1,07,01,02,03,05,14,00
104,2,00,00,00,00,00,00,00
105, ,  ,  ,  ,  ,  ,  ,  
106,1,11,01,14,39,09,34,00
107,2,00,00,00,00,00,00,00
108,1,00,00,00,00,00,00,00
109,2,11,01,09,30,09,33,00
110,1,10,01,09,31,05,18,00
111,1,10,01,09,31,06,27,00
112,1,10,01,09,31,06,22,00
113,2,05,02,17,42,01,05,00
114,1,09,01,10,34,01,05,00
115,2,05,02,17,42,01,04,00
116, ,  ,  ,  ,  ,  ,  ,  
117,2,00,00,00,00,00,00,00
118, ,  ,  ,  ,  ,  ,  ,  
119, ,  ,  ,  ,  ,  ,  ,  
120,1,09,05,17,42,01,05,00
121,2,00,00,00,00,00,00,00
122,1,00,00,00,00,00,00,00
